approved,drug_id,experimental,illicit,investigational,name,nutraceutical,smile,vet_approved,withdrawn,adrs
1,DB00166,0,0,1,Lipoic Acid,1,OC(=O)CCCC[C@@H]1CCSS1,0,0,
1,DB00167,0,0,1,Isoleucine,1,CC[C@H](C)[C@H](N)C(O)=O,0,0,
0,DB00168,0,0,1,Aspartame,1,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,0,0,
1,DB00169,0,0,0,Cholecalciferol,1,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0,0,
1,DB00170,0,0,0,Menadione,1,CC1=CC(=O)C2=CC=CC=C2C1=O,0,0,
0,DB00171,0,0,1,ATP,1,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,0,0,
1,DB00172,0,0,0,Proline,1,OC(=O)[C@@H]1CCCN1,0,0,
1,DB00173,0,0,0,Adenine,1,NC1=C2NC=NC2=NC=N1,0,0,
1,DB00174,0,0,1,Asparagine,1,N[C@@H](CC(N)=O)C(O)=O,0,0,
1,DB00175,0,0,0,Pravastatin,0,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,0,0,"21, 03, 04, 24, 17, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00176,0,0,1,Fluvoxamine,0,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,0,0,"21, 03, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00177,0,0,1,Valsartan,0,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,0,0,"14, 08, 10, 21, 20, 04, 24, 09, 19, 11, 17, 02, 01, 06, 22, 23, 13, 15, 07"
1,DB00178,0,0,0,Ramipril,0,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0,0,"21, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00179,0,0,1,Masoprocol,0,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,0,0,
1,DB00180,0,0,1,Flunisolide,0,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,0,0,"21, 04, 24, 17, 25, 07, 08, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00181,0,0,0,Baclofen,0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,0,0,"21, 04, 24, 17, 25, 07, 08, 26, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00182,0,1,1,Amphetamine,0,CC(N)CC1=CC=CC=C1,0,0,"14, 08, 10, 21, 20, 24, 02, 19, 11, 17, 22, 23, 13, 15, 12, 07"
1,DB00183,0,0,0,Pentagastrin,0,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0,0,
1,DB00184,0,0,0,Nicotine,0,CN1CCC[C@H]1C1=CN=CC=C1,0,0,"14, 08, 21, 10, 26, 04, 02, 11, 19, 24, 17, 06, 01, 22, 23, 13, 15, 12, 07"
1,DB00185,0,0,0,Cevimeline,0,CC1O[C@@]2(CS1)CN1CCC2CC1,0,0,"21, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00186,0,0,0,Lorazepam,0,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,0,0,"21, 04, 24, 17, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00187,0,0,0,Esmolol,0,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,0,0,"14, 08, 13, 26, 10, 24, 02, 19, 11, 17, 06, 01, 22, 23, 20, 15, 12, 07"
1,DB00188,0,0,1,Bortezomib,0,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,0,0,"21, 03, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00189,0,1,0,Ethchlorvynol,0,CCC(O)(\C=C\Cl)C#C,0,1,
1,DB00190,0,0,0,Carbidopa,0,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,0,0,"08, 10, 21, 20, 24, 02, 07, 19, 17, 06, 01, 11, 22, 16, 23, 13, 15, 12, 14"
1,DB00191,0,1,0,Phentermine,0,CC(C)(N)CC1=CC=CC=C1,0,0,"08, 10, 21, 24, 02, 19, 17, 25, 22, 23, 13, 07"
1,DB00192,0,0,0,Indecainide,0,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12,0,0,
1,DB00193,0,0,1,Tramadol,0,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0,0,"21, 03, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00194,0,0,1,Vidarabine,0,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,0,"08, 10, 24, 17, 06, 23, 13, 12"
1,DB00195,0,0,1,Betaxolol,0,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0,0,"21, 03, 04, 24, 17, 07, 08, 26, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00196,0,0,1,Fluconazole,0,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0,0,"14, 08, 10, 20, 04, 24, 09, 11, 01, 17, 02, 19, 16, 22, 23, 13, 15, 12, 07"
0,DB00197,0,0,1,Troglitazone,0,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O,0,1,"14, 08, 02, 09, 19, 01, 17, 24, 05, 23, 13, 07"
1,DB00198,0,0,0,Oseltamivir,0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,0,0,"14, 08, 10, 04, 02, 11, 19, 24, 17, 09, 01, 06, 22, 05, 23, 13, 15, 12, 07"
1,DB00199,0,0,1,Erythromycin,0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,0,"14, 08, 10, 20, 04, 02, 09, 11, 24, 17, 19, 06, 22, 23, 13, 15, 12, 07"
1,DB00200,0,0,0,Hydroxocobalamin,0,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H],0,0,"14, 08, 10, 20, 21, 02, 24, 19, 17, 22, 23, 13, 12, 07"
1,DB00201,0,0,0,Caffeine,0,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0,0,"14, 08, 13, 24, 11, 02, 19, 17, 06, 18, 01, 22, 05, 23, 20, 12, 07"
1,DB00202,0,0,0,Succinylcholine,0,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,0,"14, 08, 10, 13, 24, 02, 17, 22, 23, 20, 15, 12, 07"
1,DB00203,0,0,1,Sildenafil,0,CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,0,0,"21, 03, 04, 24, 17, 07, 08, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00204,0,0,1,Dofetilide,0,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,0,0,"14, 08, 10, 02, 11, 24, 09, 17, 19, 22, 23, 20, 15, 12, 07"
1,DB00205,0,0,1,Pyrimethamine,0,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,1,0,"08, 10, 03, 24, 02, 11, 01, 17, 07, 19, 22, 23, 20, 12, 14"
1,DB00206,0,0,1,Reserpine,0,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0,0,"14, 08, 21, 20, 10, 04, 24, 02, 19, 01, 17, 06, 18, 22, 05, 23, 13, 15, 07"
1,DB00207,0,0,0,Azithromycin,0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0,0,"21, 03, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 20, 11, 06, 15"
1,DB00208,0,0,0,Ticlopidine,0,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,0,0,"14, 08, 10, 13, 04, 09, 24, 11, 01, 17, 19, 02, 16, 22, 06, 23, 20, 15, 12, 07"
1,DB00209,0,0,0,Trospium,0,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,0,0,"08, 10, 21, 13, 04, 24, 02, 07, 11, 17, 06, 19, 01, 22, 23, 20, 15, 12, 14"
1,DB00210,0,0,0,Adapalene,0,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,0,0,"14, 08, 10, 24, 11, 09, 17, 06, 22, 23, 12, 07"
1,DB00211,0,0,0,Midodrine,0,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,0,0,"08, 10, 02, 24, 19, 17, 06, 25, 22, 23, 20, 15, 07"
0,DB00212,1,0,0,Remikiren,0,[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1,0,0,
1,DB00213,0,0,0,Pantoprazole,0,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,0,0,"21, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00214,0,0,0,Torasemide,0,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,0,0,"14, 08, 10, 20, 21, 09, 24, 02, 19, 11, 01, 17, 22, 05, 23, 13, 15, 12, 07"
1,DB00215,0,0,0,Citalopram,0,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,0,0,"21, 03, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15"
1,DB00216,0,0,1,Eletriptan,0,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,0,0,"21, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00217,0,0,0,Bethanidine,0,CN\C(NCC1=CC=CC=C1)=N/C,0,0,
1,DB00218,0,0,1,Moxifloxacin,0,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,0,0,"21, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15"
1,DB00219,0,0,0,Oxyphenonium,0,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,0,0,
1,DB00220,0,0,0,Nelfinavir,0,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,0,0,"14, 08, 21, 20, 10, 02, 11, 24, 19, 17, 01, 06, 09, 22, 05, 23, 13, 15, 12, 07"
1,DB00221,0,0,0,Isoetarine,0,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,0,0,
