adrs,drug_id,name,smile
"21, 03, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 20, 11, 06, 15",DB00207,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
"14, 08, 10, 13, 04, 09, 24, 11, 01, 17, 19, 02, 16, 22, 06, 23, 20, 15, 12, 07",DB00208,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
"08, 10, 21, 13, 04, 24, 02, 07, 11, 17, 06, 19, 01, 22, 23, 20, 15, 12, 14",DB00209,Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
"14, 08, 10, 24, 11, 09, 17, 06, 22, 23, 12, 07",DB00210,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
"08, 10, 02, 24, 19, 17, 06, 25, 22, 23, 20, 15, 07",DB00211,Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
"21, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00213,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
"14, 08, 10, 20, 21, 09, 24, 02, 19, 11, 01, 17, 22, 05, 23, 13, 15, 12, 07",DB00214,Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
"21, 03, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00215,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
"21, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00216,Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
"21, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00218,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
"14, 08, 21, 20, 10, 02, 11, 24, 19, 17, 01, 06, 09, 22, 05, 23, 13, 15, 12, 07",DB00220,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
"14, 08, 21, 03, 10, 20, 24, 09, 02, 01, 17, 19, 25, 06, 22, 05, 23, 13, 15, 07",DB00222,Glimepiride,[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1
"08, 10, 11, 17, 23, 12",DB00223,Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
"14, 08, 10, 13, 03, 24, 11, 19, 01, 17, 09, 02, 22, 05, 23, 20, 15, 07",DB00224,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
"08, 10, 20, 21, 04, 24, 02, 07, 19, 17, 11, 09, 06, 22, 25, 23, 13, 15, 12, 14",DB00225,Gadodiamide,O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC
"21, 03, 04, 24, 17, 07, 08, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00227,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
"14, 08, 02, 09, 19, 24, 17, 22, 13, 15, 12, 07",DB00228,Enflurane,FC(F)OC(F)(F)C(F)Cl
"21, 03, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00230,Pregabalin,CC(C)C[C@H](CN)CC(O)=O
"21, 03, 04, 24, 17, 25, 07, 08, 09, 22, 23, 13, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00231,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
"14, 08, 10, 04, 24, 11, 02, 01, 17, 06, 09, 19, 22, 05, 23, 20, 15, 12, 07",DB00232,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
"14, 08, 13, 10, 16, 09, 11, 01, 17, 06, 02, 24, 05, 23, 20, 07",DB00233,Aminosalicylic Acid,NC1=CC(O)=C(C=C1)C(O)=O
"14, 08, 21, 20, 10, 04, 26, 02, 11, 19, 01, 17, 06, 24, 22, 05, 23, 13, 15, 07",DB00234,Reboxetine,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
"08, 10, 02, 24, 01, 17, 22, 23, 13, 12, 14",DB00235,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
"08, 10, 24, 09, 19, 02, 17, 22, 23, 12, 07",DB00237,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
"08, 10, 20, 09, 11, 19, 01, 17, 06, 07, 24, 23, 13, 15, 12, 14",DB00238,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
"08, 10, 11, 17, 23, 12",DB00239,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
"08, 10, 11, 17, 23, 12",DB00240,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
"14, 08, 10, 13, 24, 11, 02, 01, 19, 17, 16, 22, 23, 20, 15, 12, 07",DB00242,Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
"08, 10, 13, 04, 02, 24, 07, 01, 17, 06, 19, 22, 05, 23, 20, 12, 14",DB00243,Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
"21, 04, 24, 17, 25, 07, 08, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00244,Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1
"14, 08, 10, 20, 24, 02, 19, 17, 06, 23, 13, 12, 07",DB00245,Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
"21, 04, 24, 17, 25, 07, 08, 26, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00246,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
"14, 08, 21, 20, 10, 24, 02, 19, 01, 17, 06, 22, 23, 13, 15, 12, 07",DB00247,Methysergide,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
"21, 03, 04, 24, 17, 07, 08, 26, 16, 09, 22, 23, 13, 14, 10, 02, 19, 20, 11, 06, 15",DB00248,Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
"08, 24, 11, 17, 06, 25, 23, 13",DB00249,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
"21, 04, 24, 17, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00250,Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
"08, 21, 17, 23, 13, 15, 07",DB00251,Terconazole,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
"21, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00252,Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
"21, 04, 24, 17, 07, 08, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00253,Medrysone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
"21, 04, 24, 17, 25, 07, 08, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 20, 11, 18, 15",DB00254,Doxycycline,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
"10, 03, 21, 02, 11, 09, 01, 17, 06, 24, 18, 23, 13, 12, 07",DB00256,Lymecycline,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
"14, 08, 13, 10, 21, 09, 24, 11, 17, 23, 20, 15, 12, 07",DB00257,Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
"08, 17",DB00259,Sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O
"08, 10, 13, 04, 09, 24, 19, 02, 17, 23, 20, 15, 07",DB00260,Cycloserine,N[C@@H]1CONC1=O
"21, 04, 24, 17, 25, 07, 08, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 20, 11, 06, 15",DB00261,Anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
"21, 03, 24, 17, 07, 08, 26, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00262,Carmustine,ClCCNC(=O)N(CCCl)N=O
"14, 08, 13, 10, 04, 02, 11, 24, 19, 01, 09, 17, 06, 22, 05, 23, 20, 15, 12, 07",DB00263,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
"21, 04, 24, 17, 07, 08, 26, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00264,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
"10, 23",DB00265,Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C
"21, 03, 04, 24, 17, 25, 07, 08, 26, 16, 09, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 15",DB00268,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
"14, 08, 10, 20, 21, 04, 24, 11, 09, 01, 17, 19, 02, 06, 22, 23, 13, 15, 12, 07",DB00270,Isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
"21, 03, 24, 17, 25, 07, 08, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 20, 11, 06, 15",DB00271,Diatrizoate,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
"21, 03, 04, 24, 17, 25, 07, 08, 26, 09, 16, 22, 23, 13, 12, 14, 10, 02, 19, 01, 05, 20, 11, 06, 18, 15",DB00273,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
"14, 08, 13, 10, 04, 02, 11, 19, 24, 01, 06, 17, 09, 22, 05, 23, 20, 15, 12, 07",DB00275,Olmesartan,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
"14, 08, 10, 20, 03, 02, 11, 24, 01, 17, 19, 06, 16, 22, 09, 23, 13, 15, 12, 07",DB00276,Amsacrine,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
"14, 08, 10, 20, 24, 11, 19, 02, 17, 22, 05, 23, 13, 15, 12, 07",DB00277,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O
"14, 08, 10, 20, 02, 24, 11, 01, 19, 17, 25, 22, 23, 13, 15, 12, 07",DB00278,Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
"10, 02, 24, 22, 23, 13, 15, 12",DB00279,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
